Date : 2021-08-24 09:33:53
Directory : /home/keyhan/Desktop/AsemanWeb
Total : 13637 files,  4093544 codes, 589654 comments, 416939 blanks, all 5100137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Go                 |      6,057 |  1,847,370 |    333,014 |    168,762 |  2,349,146 |
| JSON               |        722 |    773,856 |     22,509 |        650 |    797,015 |
| TypeScript         |      3,269 |    701,390 |     97,270 |    139,809 |    938,469 |
| JavaScript         |      1,103 |    285,106 |     34,765 |     42,943 |    362,814 |
| C                  |          9 |    148,229 |     73,241 |     15,824 |    237,294 |
| HTML               |        216 |     78,931 |        209 |      3,345 |     82,485 |
| CSS                |        297 |     77,258 |      5,386 |     13,169 |     95,813 |
| Ini                |         31 |     54,980 |      1,979 |      3,456 |     60,415 |
| Markdown           |        555 |     47,938 |        124 |     15,094 |     63,156 |
| Properties         |        132 |     15,668 |      8,101 |      2,298 |     26,067 |
| XML                |        494 |     15,284 |         13 |      2,440 |     17,737 |
| YAML               |        309 |     13,602 |        587 |      1,900 |     16,089 |
| SCSS               |         31 |     12,273 |        315 |      2,767 |     15,355 |
| Less               |         39 |      7,916 |        101 |      1,615 |      9,632 |
| Shell Script       |        140 |      4,350 |      1,175 |      1,169 |      6,694 |
| C++                |         12 |      2,576 |     10,481 |        445 |     13,502 |
| Makefile           |         41 |      1,934 |         99 |        555 |      2,588 |
| JSON with Comments |         16 |      1,472 |         12 |         14 |      1,498 |
| Jupyter            |          1 |        838 |          0 |          1 |        839 |
| Python             |          9 |        387 |         45 |        154 |        586 |
| Ignore             |         80 |        375 |          0 |         73 |        448 |
| Batch              |         11 |        235 |          0 |         97 |        332 |
| vue                |          2 |        169 |          0 |          7 |        176 |
| PowerShell         |          7 |        165 |         19 |         30 |        214 |
| JavaScript React   |          5 |        163 |          6 |         22 |        191 |
| Docker             |          7 |        141 |         50 |         53 |        244 |
| Diff               |          2 |        134 |          0 |          9 |        143 |
| CUDA C++           |          1 |        113 |          0 |         37 |        150 |
| Groovy             |          1 |        106 |         49 |         65 |        220 |
| Perl               |          2 |         55 |          9 |         13 |         77 |
| Handlebars         |          2 |         46 |          1 |          7 |         54 |
| PHP                |          3 |         43 |          5 |         12 |         60 |
| Clojure            |          1 |         38 |          8 |          6 |         52 |
| Razor              |          1 |         38 |          0 |          8 |         46 |
| Objective-C++      |          1 |         33 |          9 |         11 |         53 |
| Objective-C        |          1 |         33 |          9 |         11 |         53 |
| CoffeeScript       |          2 |         32 |          0 |         12 |         44 |
| Rust               |          2 |         31 |          0 |         10 |         41 |
| Pug                |          2 |         27 |          0 |          3 |         30 |
| Ruby               |          1 |         26 |         14 |          6 |         46 |
| Julia              |          1 |         23 |          1 |          3 |         27 |
| Java               |          1 |         23 |         11 |          9 |         43 |
| C#                 |          1 |         16 |          1 |          0 |         17 |
| Visual Basic       |          1 |         16 |          6 |          3 |         25 |
| ShaderLab          |          1 |         15 |          0 |          0 |         15 |
| Swift              |          1 |         13 |          0 |          1 |         14 |
| F#                 |          1 |         11 |          3 |          4 |         18 |
| R                  |          1 |         11 |          9 |          5 |         25 |
| HLSL               |          1 |         10 |          0 |          3 |         13 |
| Lua                |          1 |         10 |          1 |          1 |         12 |
| Log                |          1 |          9 |          0 |          0 |          9 |
| SQL                |          2 |          8 |          0 |          1 |          9 |
| Git Rebase Message |          1 |          7 |          7 |          1 |         15 |
| Git Commit Message |          5 |          6 |         10 |          5 |         21 |
| TypeScript React   |          1 |          5 |          0 |          1 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                |     13,637 |  4,093,544 |    589,654 |    416,939 |  5,100,137 |
| audio-player                                                                                                                                                     |          3 |         87 |          0 |         13 |        100 |
| audio-player/public                                                                                                                                              |          1 |         62 |          0 |          9 |         71 |
| authentication                                                                                                                                                   |          5 |        564 |          2 |         78 |        644 |
| authentication/public                                                                                                                                            |          3 |        539 |          2 |         73 |        614 |
| authentication2                                                                                                                                                  |         15 |        508 |         65 |         59 |        632 |
| authentication2/public                                                                                                                                           |          2 |         30 |         23 |          2 |         55 |
| authentication2/src                                                                                                                                              |         12 |        441 |         42 |         56 |        539 |
| authentication2/src/components                                                                                                                                   |          4 |        133 |          2 |         16 |        151 |
| authentication2/src/components/login                                                                                                                             |          4 |        133 |          2 |         16 |        151 |
| cnn-audio-denoiser                                                                                                                                               |          8 |      1,136 |         37 |        135 |      1,308 |
| cnn-audio-denoiser/data_processing                                                                                                                               |          4 |        202 |         24 |         84 |        310 |
| code-server                                                                                                                                                      |      4,699 |  1,108,399 |    127,131 |    149,162 |  1,384,692 |
| code-server/ci                                                                                                                                                   |         43 |      1,539 |        330 |        383 |      2,252 |
| code-server/ci/build                                                                                                                                             |         14 |        398 |         88 |        143 |        629 |
| code-server/ci/dev                                                                                                                                               |         10 |        349 |         86 |         83 |        518 |
| code-server/ci/helm-chart                                                                                                                                        |         10 |        469 |        106 |         73 |        648 |
| code-server/ci/helm-chart/templates                                                                                                                              |          7 |        291 |          0 |          7 |        298 |
| code-server/ci/helm-chart/templates/tests                                                                                                                        |          1 |         18 |          0 |          1 |         19 |
| code-server/ci/release-image                                                                                                                                     |          3 |         55 |         10 |         16 |         81 |
| code-server/ci/steps                                                                                                                                             |          4 |         66 |         17 |         30 |        113 |
| code-server/docs                                                                                                                                                 |         11 |      1,169 |         26 |        508 |      1,703 |
| code-server/lib                                                                                                                                                  |      4,638 |  1,104,864 |    126,708 |    148,118 |  1,379,690 |
| code-server/lib/vscode                                                                                                                                           |      4,638 |  1,104,864 |    126,708 |    148,118 |  1,379,690 |
| code-server/lib/vscode/.devcontainer                                                                                                                             |          7 |        123 |         25 |         86 |        234 |
| code-server/lib/vscode/.devcontainer/cache                                                                                                                       |          4 |         49 |         16 |         26 |         91 |
| code-server/lib/vscode/.github                                                                                                                                   |         32 |      1,566 |         56 |        130 |      1,752 |
| code-server/lib/vscode/.github/ISSUE_TEMPLATE                                                                                                                    |          3 |         19 |         13 |         10 |         42 |
| code-server/lib/vscode/.github/endgame                                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| code-server/lib/vscode/.github/workflows                                                                                                                         |         20 |        888 |         35 |        110 |      1,033 |
| code-server/lib/vscode/build                                                                                                                                     |        188 |     18,438 |      3,752 |      2,323 |     24,513 |
| code-server/lib/vscode/build/azure-pipelines                                                                                                                     |         54 |      3,235 |        331 |        549 |      4,115 |
| code-server/lib/vscode/build/azure-pipelines/common                                                                                                              |         21 |        937 |         85 |        158 |      1,180 |
| code-server/lib/vscode/build/azure-pipelines/darwin                                                                                                              |          3 |        385 |         13 |         60 |        458 |
| code-server/lib/vscode/build/azure-pipelines/linux                                                                                                               |          6 |        463 |         25 |        101 |        589 |
| code-server/lib/vscode/build/azure-pipelines/linux/alpine                                                                                                        |          2 |         21 |          4 |          9 |         34 |
| code-server/lib/vscode/build/azure-pipelines/publish-types                                                                                                       |          5 |        240 |         34 |         50 |        324 |
| code-server/lib/vscode/build/azure-pipelines/web                                                                                                                 |          2 |        118 |          5 |         25 |        148 |
| code-server/lib/vscode/build/azure-pipelines/win32                                                                                                               |          6 |        417 |         17 |         60 |        494 |
| code-server/lib/vscode/build/builtin                                                                                                                             |          4 |        162 |         10 |         44 |        216 |
| code-server/lib/vscode/build/darwin                                                                                                                              |          4 |        248 |         18 |         26 |        292 |
| code-server/lib/vscode/build/lib                                                                                                                                 |         96 |     12,486 |      2,707 |      1,313 |     16,506 |
| code-server/lib/vscode/build/lib/eslint                                                                                                                          |         32 |      1,398 |        262 |        206 |      1,866 |
| code-server/lib/vscode/build/lib/test                                                                                                                            |          2 |         78 |          8 |         10 |         96 |
| code-server/lib/vscode/build/lib/typings                                                                                                                         |         10 |        337 |         88 |         92 |        517 |
| code-server/lib/vscode/build/lib/watch                                                                                                                           |          5 |        154 |         66 |         24 |        244 |
| code-server/lib/vscode/build/monaco                                                                                                                              |          5 |         88 |         10 |         23 |        121 |
| code-server/lib/vscode/build/npm                                                                                                                                 |          6 |        323 |         38 |         51 |        412 |
| code-server/lib/vscode/build/polyfills                                                                                                                           |          2 |         84 |         13 |         10 |        107 |
| code-server/lib/vscode/extensions                                                                                                                                |      1,359 |    402,527 |     31,019 |     13,549 |    447,095 |
| code-server/lib/vscode/extensions/bat                                                                                                                            |          7 |        853 |          0 |          5 |        858 |
| code-server/lib/vscode/extensions/bat/snippets                                                                                                                   |          1 |         16 |          0 |          1 |         17 |
| code-server/lib/vscode/extensions/bat/syntaxes                                                                                                                   |          1 |        738 |          0 |          0 |        738 |
| code-server/lib/vscode/extensions/clojure                                                                                                                        |          6 |        529 |          0 |          4 |        533 |
| code-server/lib/vscode/extensions/clojure/syntaxes                                                                                                               |          1 |        435 |          0 |          0 |        435 |
| code-server/lib/vscode/extensions/coffeescript                                                                                                                   |          7 |        286 |      1,157 |          5 |      1,448 |
| code-server/lib/vscode/extensions/coffeescript/snippets                                                                                                          |          1 |         16 |          0 |          1 |         17 |
| code-server/lib/vscode/extensions/coffeescript/syntaxes                                                                                                          |          1 |        159 |      1,157 |          0 |      1,316 |
| code-server/lib/vscode/extensions/configuration-editing                                                                                                          |         15 |      2,589 |        158 |         98 |      2,845 |
| code-server/lib/vscode/extensions/configuration-editing/build                                                                                                    |          2 |         96 |          6 |         10 |        112 |
| code-server/lib/vscode/extensions/configuration-editing/schemas                                                                                                  |          3 |      1,952 |          0 |          2 |      1,954 |
| code-server/lib/vscode/extensions/configuration-editing/src                                                                                                      |          4 |        383 |        104 |         72 |        559 |
| code-server/lib/vscode/extensions/configuration-editing/src/typings                                                                                              |          1 |          0 |          6 |          2 |          8 |
| code-server/lib/vscode/extensions/cpp                                                                                                                            |         13 |     55,434 |          5 |         12 |     55,451 |
| code-server/lib/vscode/extensions/cpp/build                                                                                                                      |          1 |          7 |          5 |          6 |         18 |
| code-server/lib/vscode/extensions/cpp/snippets                                                                                                                   |          2 |         32 |          0 |          2 |         34 |
| code-server/lib/vscode/extensions/cpp/syntaxes                                                                                                                   |          5 |     55,168 |          0 |          0 |     55,168 |
| code-server/lib/vscode/extensions/csharp                                                                                                                         |          7 |      4,661 |          0 |          5 |      4,666 |
| code-server/lib/vscode/extensions/csharp/snippets                                                                                                                |          1 |         16 |          0 |          1 |         17 |
| code-server/lib/vscode/extensions/csharp/syntaxes                                                                                                                |          1 |      4,541 |          0 |          0 |      4,541 |
| code-server/lib/vscode/extensions/css                                                                                                                            |          6 |      1,999 |          0 |          3 |      2,002 |
| code-server/lib/vscode/extensions/css-language-features                                                                                                          |         41 |      2,401 |        211 |        286 |      2,898 |
| code-server/lib/vscode/extensions/css-language-features/client                                                                                                   |          8 |        382 |         66 |         70 |        518 |
| code-server/lib/vscode/extensions/css-language-features/client/src                                                                                               |          7 |        373 |         66 |         69 |        508 |
| code-server/lib/vscode/extensions/css-language-features/client/src/browser                                                                                       |          1 |         22 |          5 |          6 |         33 |
| code-server/lib/vscode/extensions/css-language-features/client/src/node                                                                                          |          2 |         94 |         12 |         15 |        121 |
| code-server/lib/vscode/extensions/css-language-features/client/src/typings                                                                                       |          1 |          0 |          6 |          1 |          7 |
| code-server/lib/vscode/extensions/css-language-features/schemas                                                                                                  |          1 |         20 |          0 |          1 |         21 |
| code-server/lib/vscode/extensions/css-language-features/server                                                                                                   |         25 |        965 |        135 |        187 |      1,287 |
| code-server/lib/vscode/extensions/css-language-features/server/src                                                                                               |         12 |        876 |         97 |        165 |      1,138 |
| code-server/lib/vscode/extensions/css-language-features/server/src/browser                                                                                       |          1 |          7 |          4 |          6 |         17 |
| code-server/lib/vscode/extensions/css-language-features/server/src/node                                                                                          |          2 |         87 |          9 |         14 |        110 |
| code-server/lib/vscode/extensions/css-language-features/server/src/test                                                                                          |          2 |        226 |         14 |         56 |        296 |
| code-server/lib/vscode/extensions/css-language-features/server/src/utils                                                                                         |          3 |         86 |         15 |         15 |        116 |
| code-server/lib/vscode/extensions/css-language-features/server/test                                                                                              |          9 |         23 |         28 |         10 |         61 |
| code-server/lib/vscode/extensions/css-language-features/server/test/pathCompletionFixtures                                                                       |          8 |          0 |         24 |          2 |         26 |
| code-server/lib/vscode/extensions/css-language-features/server/test/pathCompletionFixtures/about                                                                 |          2 |          0 |          4 |          1 |          5 |
| code-server/lib/vscode/extensions/css-language-features/server/test/pathCompletionFixtures/scss                                                                  |          2 |          0 |          8 |          0 |          8 |
| code-server/lib/vscode/extensions/css-language-features/server/test/pathCompletionFixtures/src                                                                   |          2 |          0 |          8 |          0 |          8 |
| code-server/lib/vscode/extensions/css/syntaxes                                                                                                                   |          1 |      1,865 |          0 |          0 |      1,865 |
| code-server/lib/vscode/extensions/debug-auto-launch                                                                                                              |          7 |        387 |         51 |         68 |        506 |
| code-server/lib/vscode/extensions/debug-auto-launch/src                                                                                                          |          2 |        305 |         46 |         60 |        411 |
| code-server/lib/vscode/extensions/debug-auto-launch/src/typings                                                                                                  |          1 |          0 |          6 |          2 |          8 |
| code-server/lib/vscode/extensions/debug-server-ready                                                                                                             |          7 |        390 |         24 |         46 |        460 |
| code-server/lib/vscode/extensions/debug-server-ready/src                                                                                                         |          2 |        194 |         19 |         37 |        250 |
| code-server/lib/vscode/extensions/debug-server-ready/src/typings                                                                                                 |          1 |          0 |          7 |          2 |          9 |
| code-server/lib/vscode/extensions/docker                                                                                                                         |          6 |        207 |          0 |          3 |        210 |
| code-server/lib/vscode/extensions/docker/syntaxes                                                                                                                |          1 |        102 |          0 |          0 |        102 |
| code-server/lib/vscode/extensions/emmet                                                                                                                          |         54 |      6,975 |        713 |      1,097 |      8,785 |
| code-server/lib/vscode/extensions/emmet/src                                                                                                                      |         45 |      6,369 |        703 |      1,069 |      8,141 |
| code-server/lib/vscode/extensions/emmet/src/browser                                                                                                              |          1 |          5 |          4 |          3 |         12 |
| code-server/lib/vscode/extensions/emmet/src/node                                                                                                                 |          1 |         11 |          4 |          5 |         20 |
| code-server/lib/vscode/extensions/emmet/src/test                                                                                                                 |         14 |      3,249 |        196 |        444 |      3,889 |
| code-server/lib/vscode/extensions/emmet/src/typings                                                                                                              |          6 |        175 |         27 |         48 |        250 |
| code-server/lib/vscode/extensions/extension-editing                                                                                                              |         11 |        604 |         40 |        111 |        755 |
| code-server/lib/vscode/extensions/extension-editing/src                                                                                                          |          5 |        477 |         30 |         96 |        603 |
| code-server/lib/vscode/extensions/extension-editing/src/typings                                                                                                  |          1 |          0 |          5 |          2 |          7 |
| code-server/lib/vscode/extensions/fsharp                                                                                                                         |          7 |      1,923 |          0 |          5 |      1,928 |
| code-server/lib/vscode/extensions/fsharp/snippets                                                                                                                |          1 |         16 |          0 |          1 |         17 |
| code-server/lib/vscode/extensions/fsharp/syntaxes                                                                                                                |          1 |      1,802 |          0 |          0 |      1,802 |
| code-server/lib/vscode/extensions/git                                                                                                                            |         76 |     13,512 |        387 |      2,452 |     16,351 |
| code-server/lib/vscode/extensions/git/build                                                                                                                      |          2 |         67 |         27 |         25 |        119 |
| code-server/lib/vscode/extensions/git/languages                                                                                                                  |          4 |         38 |          0 |          1 |         39 |
| code-server/lib/vscode/extensions/git/resources                                                                                                                  |         17 |         97 |          0 |          0 |         97 |
| code-server/lib/vscode/extensions/git/resources/icons                                                                                                            |         16 |         96 |          0 |          0 |         96 |
| code-server/lib/vscode/extensions/git/resources/icons/dark                                                                                                       |          8 |         48 |          0 |          0 |         48 |
| code-server/lib/vscode/extensions/git/resources/icons/light                                                                                                      |          8 |         48 |          0 |          0 |         48 |
| code-server/lib/vscode/extensions/git/src                                                                                                                        |         36 |      9,239 |        338 |      2,404 |     11,981 |
| code-server/lib/vscode/extensions/git/src/api                                                                                                                    |          3 |        603 |         31 |        162 |        796 |
| code-server/lib/vscode/extensions/git/src/ipc                                                                                                                    |          2 |        125 |          9 |         34 |        168 |
| code-server/lib/vscode/extensions/git/src/test                                                                                                                   |          3 |        492 |         17 |         89 |        598 |
| code-server/lib/vscode/extensions/git/src/typings                                                                                                                |          1 |          0 |          7 |          2 |          9 |
| code-server/lib/vscode/extensions/git/syntaxes                                                                                                                   |          4 |        372 |          0 |          1 |        373 |
| code-server/lib/vscode/extensions/git/test                                                                                                                       |          6 |        979 |         17 |          5 |      1,001 |
| code-server/lib/vscode/extensions/git/test/colorize-fixtures                                                                                                     |          3 |         16 |         17 |          2 |         35 |
| code-server/lib/vscode/extensions/git/test/colorize-results                                                                                                      |          3 |        963 |          0 |          3 |        966 |
| code-server/lib/vscode/extensions/github                                                                                                                         |         16 |        868 |         73 |        220 |      1,161 |
| code-server/lib/vscode/extensions/github-authentication                                                                                                          |         15 |        826 |        102 |        162 |      1,090 |
| code-server/lib/vscode/extensions/github-authentication/src                                                                                                      |          8 |        687 |         92 |        144 |        923 |
| code-server/lib/vscode/extensions/github-authentication/src/common                                                                                               |          3 |        175 |         32 |         39 |        246 |
| code-server/lib/vscode/extensions/github-authentication/src/typings                                                                                              |          1 |          0 |          8 |          3 |         11 |
| code-server/lib/vscode/extensions/github/src                                                                                                                     |         10 |        749 |         68 |        207 |      1,024 |
| code-server/lib/vscode/extensions/github/src/typings                                                                                                             |          2 |        234 |         29 |         53 |        316 |
| code-server/lib/vscode/extensions/go                                                                                                                             |          6 |      1,122 |          0 |          3 |      1,125 |
| code-server/lib/vscode/extensions/go/syntaxes                                                                                                                    |          1 |      1,017 |          0 |          0 |      1,017 |
| code-server/lib/vscode/extensions/groovy                                                                                                                         |          7 |      1,728 |          1 |          4 |      1,733 |
| code-server/lib/vscode/extensions/groovy/snippets                                                                                                                |          1 |        225 |          1 |          0 |        226 |
| code-server/lib/vscode/extensions/groovy/syntaxes                                                                                                                |          1 |      1,383 |          0 |          0 |      1,383 |
| code-server/lib/vscode/extensions/grunt                                                                                                                          |          8 |        439 |         26 |         52 |        517 |
| code-server/lib/vscode/extensions/grunt/src                                                                                                                      |          2 |        317 |         21 |         37 |        375 |
| code-server/lib/vscode/extensions/grunt/src/typings                                                                                                              |          1 |          0 |          6 |          2 |          8 |
| code-server/lib/vscode/extensions/gulp                                                                                                                           |          8 |        441 |         43 |         69 |        553 |
| code-server/lib/vscode/extensions/gulp/src                                                                                                                       |          2 |        325 |         38 |         54 |        417 |
| code-server/lib/vscode/extensions/gulp/src/typings                                                                                                               |          1 |          0 |          6 |          2 |          8 |
| code-server/lib/vscode/extensions/handlebars                                                                                                                     |          6 |        965 |          0 |          4 |        969 |
| code-server/lib/vscode/extensions/handlebars/syntaxes                                                                                                            |          1 |        852 |          0 |          0 |        852 |
| code-server/lib/vscode/extensions/hlsl                                                                                                                           |          6 |        310 |          0 |          3 |        313 |
| code-server/lib/vscode/extensions/hlsl/syntaxes                                                                                                                  |          1 |        217 |          0 |          0 |        217 |
| code-server/lib/vscode/extensions/html                                                                                                                           |          8 |      2,842 |         41 |         13 |      2,896 |
| code-server/lib/vscode/extensions/html-language-features                                                                                                         |         72 |      5,855 |      2,774 |        928 |      9,557 |
| code-server/lib/vscode/extensions/html-language-features/build                                                                                                   |          1 |        147 |         17 |         20 |        184 |
| code-server/lib/vscode/extensions/html-language-features/client                                                                                                  |         10 |        650 |         74 |        101 |        825 |
| code-server/lib/vscode/extensions/html-language-features/client/src                                                                                              |          9 |        641 |         74 |        100 |        815 |
| code-server/lib/vscode/extensions/html-language-features/client/src/browser                                                                                      |          1 |         22 |          5 |          6 |         33 |
| code-server/lib/vscode/extensions/html-language-features/client/src/node                                                                                         |          2 |        113 |         12 |         20 |        145 |
| code-server/lib/vscode/extensions/html-language-features/client/src/typings                                                                                      |          1 |          0 |          6 |          2 |          8 |
| code-server/lib/vscode/extensions/html-language-features/schemas                                                                                                 |          1 |         20 |          0 |          1 |         21 |
| code-server/lib/vscode/extensions/html-language-features/server                                                                                                  |         52 |      4,552 |      2,673 |        778 |      8,003 |
| code-server/lib/vscode/extensions/html-language-features/server/build                                                                                            |          1 |        106 |          9 |         18 |        133 |
| code-server/lib/vscode/extensions/html-language-features/server/lib                                                                                              |          2 |        628 |      2,391 |        248 |      3,267 |
| code-server/lib/vscode/extensions/html-language-features/server/src                                                                                              |         44 |      3,709 |        259 |        491 |      4,459 |
| code-server/lib/vscode/extensions/html-language-features/server/src/browser                                                                                      |          1 |          7 |          4 |          6 |         17 |
| code-server/lib/vscode/extensions/html-language-features/server/src/modes                                                                                        |         11 |      1,432 |         65 |        142 |      1,639 |
| code-server/lib/vscode/extensions/html-language-features/server/src/node                                                                                         |          2 |         87 |          9 |         16 |        112 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test                                                                                         |         21 |      1,288 |         93 |        189 |      1,570 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test/fixtures                                                                                |          6 |         86 |          0 |         11 |         97 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test/fixtures/expected                                                                       |          4 |         62 |          0 |         10 |         72 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test/fixtures/inputs                                                                         |          2 |         24 |          0 |          1 |         25 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test/pathCompletionFixtures                                                                  |          6 |          0 |         16 |          2 |         18 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test/pathCompletionFixtures/about                                                            |          2 |          0 |          4 |          1 |          5 |
| code-server/lib/vscode/extensions/html-language-features/server/src/test/pathCompletionFixtures/src                                                              |          2 |          0 |          8 |          0 |          8 |
